sku,product_name,category,fabric,color,size,price_inr,special_offer,product_details
VAS-WOM-001,Banarasi Katan Silk Saree in Maroon,Women Ethnic - Saree,Pure Silk,Maroon,"XS, S, M, L, XL","6,197",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Pure Silk | Color: Maroon | Available Sizes: XS, S, M, L, XL | Price: INR 6,197 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-002,Banarasi Katan Silk Saree in Pastel Pink,Women Ethnic - Saree,Pure Silk,Pastel Pink,"XS, S, M, L, XL","14,823",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Pure Silk | Color: Pastel Pink | Available Sizes: XS, S, M, L, XL | Price: INR 14,823 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-003,Banarasi Katan Silk Saree in Emerald Green,Women Ethnic - Saree,Pure Silk,Emerald Green,"S, M, L, XL, XXL, 3XL","12,016",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Pure Silk | Color: Emerald Green | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 12,016 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-004,Banarasi Katan Silk Saree in Royal Blue,Women Ethnic - Saree,Pure Silk,Royal Blue,Free Size (Semi-Stitched),"3,854",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Pure Silk | Color: Royal Blue | Available Sizes: Free Size (Semi-Stitched) | Price: INR 3,854 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-005,Banarasi Katan Silk Saree in Mustard Yellow,Women Ethnic - Saree,Pure Silk,Mustard Yellow,"XS, S, M, L, XL","14,451",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Pure Silk | Color: Mustard Yellow | Available Sizes: XS, S, M, L, XL | Price: INR 14,451 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-006,Banarasi Katan Silk Saree in Ivory White,Women Ethnic - Saree,Pure Silk,Ivory White,"XS, S, M, L, XL","14,047",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Pure Silk | Color: Ivory White | Available Sizes: XS, S, M, L, XL | Price: INR 14,047 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-007,Banarasi Katan Silk Saree in Wine Burgundy,Women Ethnic - Saree,Pure Silk,Wine Burgundy,Custom Tailored Available,"6,491",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Pure Silk | Color: Wine Burgundy | Available Sizes: Custom Tailored Available | Price: INR 6,491 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-008,Banarasi Katan Silk Saree in Teal Green,Women Ethnic - Saree,Pure Silk,Teal Green,Free Size (Semi-Stitched),"9,442",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Pure Silk | Color: Teal Green | Available Sizes: Free Size (Semi-Stitched) | Price: INR 9,442 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-009,Banarasi Katan Silk Saree in Gold Metallic,Women Ethnic - Saree,Pure Silk,Gold Metallic,"XS, S, M, L, XL","13,371",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Pure Silk | Color: Gold Metallic | Available Sizes: XS, S, M, L, XL | Price: INR 13,371 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-010,Banarasi Katan Silk Saree in Navy Blue,Women Ethnic - Saree,Pure Silk,Navy Blue,Free Size (Semi-Stitched),"7,464",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Pure Silk | Color: Navy Blue | Available Sizes: Free Size (Semi-Stitched) | Price: INR 7,464 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
